Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","208","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","1293","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","1390","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","80.14","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","76.68","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","99.4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","109.29","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2560","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2603","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","53.54","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","55.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","49.53","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","45.59","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","232","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","191","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","15.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","12.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","15.24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","12.71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2282","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2293","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","34.82","E","Valeur estimée"
