Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","051","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","52.59","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","38.45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","39.75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2295","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2338","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","35.24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","38.42","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","80.77","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","81.78","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2506","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2519","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","43.73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","44.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","69.94","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","78.61","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2655","E","Valeur estimée"
